Landing Page,Query_list,Old Title,Title,Old Meta Desciption,Meta Description
https://www.g-niib.com/zh-hant/blog/detail/heidi-sim01,"['', '', '']","HeidiSIM01,! - GenieBiome Limited | ","G-NiiBSIM01,,- SEO:G-NiiB SIM01","G-NiiB ,,,,,,,,,","G-NiiB,,G-NiiBSIM01,,,,"
https://www.g-niib.com/zh-hant/blog/detail/m3crc%E7%B4%B0%E5%88%B05mm%E9%83%BD%E9%A9%97%E5%88%B0-%E5%B0%8F%E7%98%9C%E8%82%89%E5%A4%A7%E8%85%B8%E7%99%8C-%E7%84%A1%E6%89%80%E9%81%81%E5%BD%A2,[''],M3CRC5mm   - GenieBiome Limited | ,",M3CRC5,,(),,100%, - GenieBiome Limited | ","G-NiiB ,,,,,,,,,","G-NiiB,,,,100%"
https://www.g-niib.com/zh-hant/blog/detail/m3crc%E9%A9%97%E5%87%BA%E6%BD%9B%E4%BC%8F%E5%A4%A7%E8%85%B8%E7%99%8C-%E6%89%93%E7%A0%B4%E8%85%B8%E9%81%93%E9%83%A8%E4%BD%8D%E5%B1%80%E9%99%90,"['', '', '', ' ', '', '', '', '', '', '']",M3CRC  - GenieBiome Limited | ,"GenieBiome LimitedM3CRC,","G-NiiB ,,,,,,,,,","G-NiiB,(),,()"
https://www.g-niib.com/zh-hant/blog/detail/m3xtra-wendy,[''], Wendy: M3 - GenieBiome Limited | ,"Wendy:M3XTRA,,","G-NiiB ,,,,,,,,,","Deoes G-NiiB,,M3XTRA # # #"
https://www.g-niib.com/zh-hant/blog/detail/mama-jazi,[''],Jazi..SIM01 +  - GenieBiome Limited | ,"2Jazi,G-NiiB+(SIM01)","G-NiiB ,,,,,,,,,","G-NiiB,G-NiiB+(SIM01)Jazi,"
https://www.g-niib.com/zh-hant/blog/detail/mama-winnie,"['', '', '', '', '']",":Winnie SIM01, - GenieBiome Limited | ",":WinnieSIM01,","G-NiiB ,,,,,,,,,","G-NiiB,,G-NiiB,,"
https://www.g-niib.com/zh-hant/blog/detail/sim01%E8%85%B8%E9%81%93%E5%BE%AE%E7%94%9F%E6%85%8B%E9%85%8D%E6%96%B9-%E6%B8%9B%E8%BC%95%E5%85%92%E7%AB%A5%E6%8E%A5%E7%A8%AE%E7%96%AB%E8%8B%97%E5%89%AF%E4%BD%9C%E7%94%A8,"['g-niib', '', '', '']", SIM01  - GenieBiome Limited | ,:,"G-NiiB ,,,,,,,,,"," G-NiiB,,,G-NiiB SIM01 ,,"
https://www.g-niib.com/zh-hant/blog/detail/sim01-%E9%85%8D%E6%96%B9%E6%9C%89%E6%95%88%E6%8A%B5%E6%8A%97%E7%B4%B0%E8%8F%8C%E7%97%85%E6%AF%92%E6%84%9F%E6%9F%93,[''],SIM01  - GenieBiome Limited | ,"GenieBiome Limited,SIM01,,,,SIM01,,!","G-NiiB ,,,,,,,,,","G-NiiB,SIM01,,"
https://www.g-niib.com/zh-hant/blog/detail/stool-collection-guide,"['', '', '', '', '', '']", - GenieBiome Limited | , - GenieBiome Limited ,G-NiiB CRCcore  - ," G-NiiB CRCcore ,,,"
https://www.g-niib.com/zh-hant/blog/detail/user-testimonials-martin,[''],Martin:SIM01 ! - GenieBiome Limited | ,"Martin,,,,,,,,,GenieBiome LimitedSIM01,,Martin!","G-NiiB ,,,,,,,,,","G-NiiB,Martin,,G-NiiB"
https://www.g-niib.com/zh-hant/blog/listing/all,"['g_niib    ', 'g niib', '']", - GenieBiome Limited | ,"GenieBiome Limited:, | g_niib",G-NiiB ,",G-NiiB,"
https://www.g-niib.com/zh-hant/blog/listing/gut-serious-illness,"['g_niib    ', ' ', '', '']", - GenieBiome Limited | ,"g_niib, - GenieBiome",G-NiiB ,"G-NiiB,,M3CRC"
https://www.g-niib.com/zh-hant/blog/listing/health-information,"['omicron', '', '']", - GenieBiome Limited | ,:,G-NiiB ,"DSE,G-NiiB,,omicron,,"
https://www.g-niib.com/zh-hant/blog/listing/mucus-layer,"['g niib', 'g_niib    ', 'mucin layer', 'mucus', '', '']", - GenieBiome Limited | ,"GenieBiome Limited,,G niib,,,,3,",G-NiiB ,"G-NiiB,,,G-NiiB,"
https://www.g-niib.com/zh-hant/blog/listing/user-report,"['', '']", - GenieBiome Limited | ,"G-NiiBSIM01-,,,SIM01",G-NiiB ,"G-NiiB,,G-NiiBSIM01,,,,,"
https://www.g-niib.com/zh-hant/contact,"['geniebiome', 'geniebiome limited', 'g niib', 'g niib watsons', 'g-niib', 'genie biome', 'geniebiome ltd', 'gniib', 'local guide program', 'niib']", - GenieBiome Limited | , - GenieBiome Limited | ,   |   : (852) 3960 7648   |   : contact@g-niib.com,"

 Genie Biome Limited,:G NIIBG NIIB WatsonsG-NIIBGenie BiomeGenieBiome LimitedGenie Biome LtdGNIIBLocal Guide ProgramNIIB:(852) 3960 7648,:contact@g-niib.com"
https://www.g-niib.com/zh-hant/m3crc,"['m3crc', 'm3 crc', 'm3 ', 'm3crctm ', 'mcrc', 'm3', 'm3', 'adenoma ', 'adenomas ', 'ca colon']",G-NiiB M3CRC - GenieBiome Limited | ,G-NiiB M3CRC - GenieBiome Limited | ,"G-NiiB ,,,,,,,,,","G-NiiB,,M3CRCTM,CA Colon"
https://www.g-niib.com/zh-hant/m3xtra,"['g-niib m3xtra ', 'g-niib m3xtra', 'g niib m3xtra', 'g niib m3 xtra', 'g-niib', 'g-niib m3xtra', '', 'g-niib m3xtra pro', 'g-niib', 'm3xtra pro']",G-NiiB M3XTRA  SMT04 - GenieBiome Limited | ,"G-NiiB M3XTRA  -  GenieBiome Limited ,,,","G-NiiB ,,,,,,,,,","G-NiiB,G-NiiB m3xtraG-NiiB"
https://www.g-niib.com/zh-hant/privacy,"['g niib', 'g-niib', 'genie biome', 'geniebiome', 'gniib', 'niib', ' ']", - GenieBiome Limited | ,"Yes, the GenieBiome Limited's privacy policy is available in traditional Chinese. The title of the page is """" which translates to ""Privacy Policy for Using Scientific Research to Rebuild Healthy Microecology.""","G-NiiB ,,,,,,,,,","G-NiiB,,80,G-NiiB"
https://www.g-niib.com/zh-hant/product/g-niib-immunity,"['', ' ', '', 'g niib immunity', '', 'ginb', ' g-niib', 'g niib', '', 'g-niib immunity']",G-NiiB  +  SIM01 - GenieBiome Limited | ,G-NiiB+SIM01 | GenieBiome Limited,"G-NiiB ,,,,,,,,,","G-NiiB,,,G-NiiB,7,,"
https://www.g-niib.com/zh-hant/product/immunekids,"['g-niib', 'geniebiome', 'sim03', 'g']",G-NiiB  SIM03 - GenieBiome Limited | ,G-NiiB  SIM03:,"G-NiiB ,,,,,,,,,","G-NiiB,,G-NiiBSIM03,,,,"
https://www.g-niib.com/zh-hant/research,"['', 'geniebiome', 'geniebiome ltd', 'gnib covid', 'gniib ', '']", - GenieBiome Limited | ,GenieBiome Limited: | g-niib.com,"G-NiiB ,,,,,,,,,","G-NiiB,,geniebiomegeniebiome ltdgnib covidgniib"
https://www.g-niib.com/zh-hant/research/detail/among-1000-healthy-people-hong-kong-nearly-40-have-intestinal-flora-imbalance,"['hastens ', 'hastens', '1000']","1000,",1000?,"G-NiiB ,,,,,,,,,","G-NiiB,,,,40%,"
https://www.g-niib.com/zh-hant/research/detail/cuhk-microbiome-immunity-formula-hastens-recovery-novel-virus-patients-boost-immunity,"['', ' ']", ,",,,","G-NiiB ,,,,,,,,,","G-NiiB,,,"
https://www.g-niib.com/zh-hant/research/detail/joint-cuhk-hku-study-discovers-efficacy-novel-virus-vaccines-correlates-probiotic-bacterium-bifidobacterium-adolescentis,"['', '', '', '', ' ', '', ' ', '', ' ', '']",,:,"G-NiiB ,,,,,,,,,",",,,"
